metric,ticker,value,prev,pct_change,source
USDINR,INR=X,96.06,95.32,0.77,Yahoo Finance
GOLD,GC=F,4023.4,4104.1,-1.97,Yahoo Finance
SILVER,SI=F,57.88,59.81,-3.23,Yahoo Finance
CRUDE_WTI,CL=F,79.75,71.41,11.68,Yahoo Finance
CRUDE_BRENT,BZ=F,84.7,76.01,11.43,Yahoo Finance
COPPER,HG=F,6.32,6.23,1.37,Yahoo Finance
NAT_GAS,NG=F,2.89,2.94,-1.67,Yahoo Finance
DOLLAR_INDEX,DX-Y.NYB,101.18,100.97,0.21,Yahoo Finance
BITCOIN,BTC-USD,63758.22,63802.03,-0.07,Yahoo Finance
US_SP500,^GSPC,7515.34,7575.39,-0.79,Yahoo Finance
US_NASDAQ,^IXIC,25873.18,26281.61,-1.55,Yahoo Finance
US_DOW,^DJI,52498.64,52637.01,-0.26,Yahoo Finance
US_VIX,^VIX,17.16,15.03,14.17,Yahoo Finance
US_5Y_YIELD,^FVX,4.36,4.31,1.28,Yahoo Finance
US_10Y_YIELD,^TNX,4.61,4.57,0.88,Yahoo Finance
US_30Y_YIELD,^TYX,5.1,5.07,0.53,Yahoo Finance
NIKKEI,^N225,66678.36,67242.73,-0.84,Yahoo Finance
HANG_SENG,^HSI,24027.07,24213.72,-0.77,Yahoo Finance
SHANGHAI,000001.SS,3880.45,3913.79,-0.85,Yahoo Finance
KOSPI,^KS11,6468.33,6806.93,-4.97,Yahoo Finance
TAIWAN,^TWII,43697.93,45380.52,-3.71,Yahoo Finance
ASX200,^AXJO,8759.8,8808.5,-0.55,Yahoo Finance
FTSE,^FTSE,10498.3,10497.3,0.01,Yahoo Finance
DAX,^GDAXI,25114.25,25067.09,0.19,Yahoo Finance
EURO_STOXX50,^STOXX50E,6271.02,6269.97,0.02,Yahoo Finance
EM_ETF,EEM,64.5,66.9,-3.59,Yahoo Finance
INDIA_ETF,INDA,48.79,49.3,-1.03,Yahoo Finance
REPO_RATE,,,,,RBI (manual)
CPI_INFLATION,,,,,MOSPI (manual)
GDP_GROWTH,,,,,MOSPI (manual)
